"filename", "language", "Batch", "Markdown", "CMake Cache", "JSON", "CMake", "Makefile", "Ini", "XML", "Log", "Python", "C++", "C", "HTML", "comment", "blank", "total"
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 0, 54, 107, 639
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499, 0, 52, 109, 660
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 899, 0, 0, 0, 0, 0, 257, 1156
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\feature_tests.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\feature_tests.cxx", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 4, 406
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\win-vind.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\win-vind.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CPackConfig.cmake", "CMake", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CPackSourceConfig.cmake", "CMake", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 106
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\Makefile", "Makefile", 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 102, 159, 576
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\compile_commands.json", "JSON", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Binders.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Binders.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Binders.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Common.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Common.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Common.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CoreSystem.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CoreSystem.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CoreSystem.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\EditorKeybinds.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\EditorKeybinds.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
